year,population,production_kg,production_kgpercapita,landuse_ha,animalfeed_kg,animalfeed_kgpercapita
2011,198185300,74815450000,377.50253,23968664,1000000000,5.0457832
2012,199977710,65848856000,329.28097,24975258,1244000000,6.2206932
2013,201721780,81724480000,405.13465,27906676,1035000000,5.1308293
2014,203459650,86760520000,426.42617,30273764,1217000000,5.98153
2015,205188210,97464936000,475.00262,32181244,637000000,3.104467
2016,206859580,96394820000,465.99153,33183120,3142000000,15.189047
2017,208504960,1.14732E+11,550.2608,33959880,678000000,3.2517212
2018,210166600,1.17912E+11,561.0428,34777936,1448000000,6.8897726
2019,211782880,1.14317E+11,539.7832,35895208,663000000,3.1305647
2020,213196300,1.21798E+11,571.2937,37188168,649000000,3.0441429